segment,gait,direction,surface,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,hiphike_swing,hiphike_stance,horse_name,measurement,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","soft",1.3444,64.4371,0.89,0.87,0.865,0.84,0.45,0.48,0.445,0.52,194.2482,179.6334,146.8658,118.8272,65.5617,64.8045,65.1601,62.2222,,,,,,,,,-0.36,-26.7782,0.32,24.1055,0.33,24.4444,72.192,73.8781,55.1518,58.1548,14.0966,14.3286,11.6415,15.5116,29.4887,31.4539,27.5817,29.71,-42.7033,-42.4242,-27.5702,-28.4448,9.1978,11.3374,7.789,8.0642,-4.8988,-2.9911,-3.8525,-7.4475,,,24.1741,-39.8866,0.6158,2.5003,2.0639,-0.0774,7.8571,-12.5012,0.3658,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.3631,63.8211,0.865,0.9,0.855,0.86,0.485,0.465,0.48,0.5,174.0355,181.9381,137.6292,126.7066,64.1929,64.4007,63.6872,63.0037,,,,,,,-0.335,-24.5759,-0.325,-23.8423,0.35,26.0708,0.325,23.8095,71.3492,70.7145,56.5917,59.2359,14.4544,14.6047,9.57,16.107,30.7703,30.6366,28.7296,32.094,-40.5789,-40.0779,-27.8621,-27.1419,11.036,10.349,6.6031,8.2897,-3.4184,-4.2556,-2.9669,-7.8173,,,21.0156,-41.4112,0.6917,0.3446,3.5469,-0.0534,11.6603,-8.0032,0.311,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.4238,65.0491,0.95,0.96,0.91,0.885,0.48,0.53,0.495,0.51,172.7075,156.7451,132.2298,125.6166,66.5499,67.1329,63.6364,62.8774,,,,,,,-0.35,-24.583,-0.35,-24.583,0.345,24.1259,0.385,27.3535,71.9433,72.2799,50.9361,55.8173,12.5667,13.7887,19.5103,11.3728,32.4804,32.8103,24.216,26.9856,-39.4629,-39.4696,-26.7201,-28.8317,11.144,7.7308,12.2279,7.3766,-1.4226,-6.058,-7.2824,-3.9962,,,-10.7872,-33.6684,0.2621,-2.1339,-2.565,0.1764,4.6765,-13.7201,0.3212,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.3925,64.551,0.905,0.93,0.855,0.905,0.475,0.41,0.545,0.535,173.1516,185.028,111.0817,112.0299,65.2252,67.5136,61.7329,63.7324,,,,,,,-0.375,-26.93,-0.345,-24.7756,0.315,22.7437,0.335,23.5915,74.2634,74.0701,57.7517,58.3749,18.7011,13.1872,11.0193,12.8011,34.4002,31.6069,30.522,30.3753,-39.8632,-42.4632,-27.2297,-27.9996,10.0066,10.6867,8.2086,7.4573,-8.6945,-2.5005,-2.8107,-5.3439,,,-10.0302,0.4622,-0.2779,10.1268,1.3103,-0.5126,3.9638,-4.5747,0.1506,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.4337,65.2012,0.955,0.955,0.88,0.95,0.49,0.485,0.515,0.495,164.2283,174.0926,121.8308,124.2904,65.6357,66.5505,62.3009,66.3176,,,,,,,-0.375,-26.1552,-0.35,-24.4115,0.34,24.0708,0.35,24.4328,69.9756,72.2192,54.5311,57.4527,17.2965,17.4238,10.5948,17.4881,32.2793,29.0597,25.4649,30.9213,-37.6964,-43.1595,-29.0661,-26.5314,12.7105,13.4415,8.1976,8.5747,-4.586,-3.9823,-2.3972,-8.9134,,,,-12.2198,-0.5194,-3.1817,10.548,-0.0826,-4.8829,-3.3503,-0.0292,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.3431,63.8589,0.875,0.85,0.865,0.84,0.51,0.475,0.55,0.47,155.4501,171.6479,109.1027,129.0436,64.9351,64.7619,62.3423,63.3962,,,,,,,-0.39,-29.0368,-0.305,-22.7082,0.375,27.027,0.36,27.1698,69.9576,74.6188,55.1263,57.7817,12.1938,15.2333,15.0561,19.0447,29.7697,33.9779,26.7945,29.6193,-40.1879,-40.641,-28.3319,-28.1624,7.8058,11.6376,9.5058,10.5282,-4.388,-3.5957,-5.5503,-8.5165,,,7.1966,4.6339,0.0456,-8.1913,-1.7619,0.501,0.8716,-13.8857,0.267,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.3288,64.1492,0.87,0.895,0.835,0.81,0.435,0.45,0.495,0.5,180.1537,187.3283,122.1186,124.0358,66.0342,66.2963,63.0189,61.2476,,,,,,,-0.32,-24.0828,-0.335,-25.2117,0.325,24.5283,0.32,24.1966,70.8523,73.1622,56.227,58.192,12.7598,15.1241,13.0789,9.0642,30.6217,31.4167,27.9084,28.8041,-40.2306,-41.7455,-28.3186,-29.3879,7.3432,11.7875,8.4635,4.9402,-5.4166,-3.3366,-4.6154,-4.1241,,,-6.7037,-28.5422,0.2351,4.0228,-7.5003,-0.1782,12.4465,-12.0854,0.3803,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.3737,64.3391,0.89,0.91,0.875,0.86,0.46,0.46,0.485,0.525,171.3559,177.2999,131.0825,118.9202,64.7273,66.6667,63.8686,62.0939,,,,,,,-0.34,-24.7498,-0.34,-24.7498,0.335,24.4526,0.34,24.5487,71.0861,72.0756,58.0749,57.2598,13.1993,19.3933,8.9893,14.9026,31.1048,29.0327,28.8354,27.1953,-39.9812,-43.0429,-29.2396,-30.0645,11.1674,14.6924,5.7946,7.8389,-2.0319,-4.7009,-3.1946,-7.0637,,,-10.9853,18.4271,-0.4397,8.9249,7.5702,-0.4901,7.8037,2.3129,0.0948,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.3419,64.0844,0.895,0.855,0.86,0.83,0.51,0.45,0.505,0.525,155.7575,179.9551,127.2682,116.3268,66.0517,64.5283,63.3517,62.406,,,,,,,-0.365,-27.2007,-0.325,-24.2198,0.355,26.151,0.315,23.6842,68.6598,77.4121,53.3471,58.0004,12.3806,16.4985,13.9476,20.174,29.96,33.1596,23.1287,28.5186,-38.6998,-44.2526,-30.2184,-29.4818,8.6563,12.5626,7.9715,10.8904,-3.7243,-3.9359,-5.9761,-9.2836,,,32.4672,-14.635,0.4601,-0.7308,3.6786,-0.1467,6.0331,-2.3173,0.1449,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
1,"walk","left","soft",1.2862,63.6635,0.86,0.8,0.805,0.81,0.41,0.49,0.49,0.475,185.5101,178.7147,122.5961,127.9479,67.319,62.7451,62.2824,62.3077,,,,,,,-0.355,-27.5996,-0.325,-25.2672,0.31,23.9845,0.355,27.3077,73.8814,73.0188,55.1293,59.4322,13.62,17.0814,14.4605,21.8857,33.382,31.8493,25.2443,30.2135,-40.4994,-41.1695,-29.8849,-29.2187,11.9296,14.0822,8.888,10.988,-1.6904,-2.9993,-5.5725,-10.8977,,,7.866,10.7683,-0.0362,-0.8262,3.2371,0.0113,11.6873,-0.9919,0.2212,,,"Duque","20240626T082743_logfile.itlog","In hand","Research",,,
