segment,gait,direction,surface,ts_hoof_on_LF,ts_hoof_on_RF,ts_hoof_on_LH,ts_hoof_on_RH,ts_raw_hoof_on_LF,ts_raw_hoof_on_RF,ts_raw_hoof_on_LH,ts_raw_hoof_on_RH,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,min_diff_stn,max_diff_stn,si_up_stn,hiphike_swing,hiphike_stance,romz_head,romz_wth,romz_sac,romz_stn,romz_ltc,romz_rtc,horse_name,horse_ueln,horse_chip,horse_age,horse_color,horse_sex,horse_breed,horse_discipline,horse_sire,measurement,date,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","soft",51.655,52.315,51.305,51.95,5748.6,5749.26,5748.25,5748.895,1.3006,63.14,0.845,0.87,0.795,0.775,0.415,0.445,0.52,0.52,178.5918,169.8507,117.4764,131.6992,65.6311,66.1597,61.1538,59.6154,,,,,,,,,-0.295,-22.6814,0.35,26.9231,0.365,28.0769,68.8606,75.8137,52.802,57.8557,17.0297,19.0883,29.0118,27.879,31.5489,33.7403,27.8615,30.8242,-37.3117,-42.0735,-24.9405,-27.0315,17.6037,14.5729,16.9322,16.2079,0.574,-4.5155,-12.0796,-11.6711,,,-39.5938,5.2364,-0.458,-11.9241,-6.7452,0.6087,-3.3682,-7.9695,0.0755,,,,,,97.8865,29.6075,65.7433,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",52.97,53.63,52.59,53.255,5749.915,5750.575,5749.535,5750.2,1.3169,62.8454,0.85,0.875,0.795,0.79,0.47,0.445,0.49,0.53,175.0409,180.1461,126.5415,125.2252,64.3939,66.5399,61.2717,59.176,,,,,,,-0.275,-20.8828,-0.285,-21.6421,0.38,29.2871,0.375,28.0899,68.4908,72.0558,55.5089,63.2591,17.3101,16.6223,22.3813,17.5743,34.5357,31.2373,29.6813,34.475,-33.9551,-40.8185,-25.8276,-28.784,14.5793,13.4258,17.9153,11.822,-2.7308,-3.1965,-4.466,-5.7523,,,-14.4615,-22.6697,0.0991,-3.6457,-3.6488,0.3172,1.6802,-6.3495,0.1221,,,,,,107.9965,23.523,79.8313,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",54.29,54.94,53.9,54.605,5751.235,5751.885,5750.845,5751.55,1.2856,62.81,0.855,0.84,0.805,0.73,0.47,0.435,0.515,0.56,161.9143,175.7494,123.3317,131.1963,66.0232,66.4032,61.3333,57.4803,,,,,,,-0.27,-21.0015,-0.315,-24.5017,0.39,29.7143,0.335,26.378,68.5583,77.1465,57.521,61.4895,19.0882,16.6722,21.3965,17.6855,33.0639,36.186,29.4669,35.0349,-35.4943,-40.9605,-28.0541,-26.4546,13.2672,16.377,15.7739,11.3915,-5.821,-0.2952,-5.6226,-6.294,,,-12.9186,-14.4111,0.0143,3.5366,-5.6023,,5.7151,-6.7056,0.1555,,,,,,117.474,25.1983,79.8545,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",55.555,56.195,55.205,55.855,5752.5,5753.14,5752.15,5752.8,1.2644,62.7868,0.845,0.805,0.79,0.735,0.41,0.415,0.5,0.52,181.3221,186.4109,123.6218,126.3319,66.5354,64.9194,61.3592,58.3333,,,,,,,-0.265,-20.959,-0.3,-23.7271,0.35,27.1845,0.34,26.9841,69.591,72.5883,58.3981,63.0668,15.3222,27.2084,22.4734,21.8153,33.4812,29.5304,32.268,32.2403,-36.1098,-43.0579,-26.1301,-30.8265,12.7671,21.3437,14.5172,13.1096,-2.5551,-5.8647,-7.9562,-8.7057,,,26.2051,-14.4381,0.3777,-0.7937,1.3828,,4.0215,-4.6314,0.1217,,,,,,111.8709,26.8122,77.6639,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",56.84,57.455,56.49,57.12,5753.785,5754.4,5753.435,5754.065,1.2606,62.8506,0.815,0.85,0.76,0.745,0.44,0.455,0.495,0.53,173.8595,178.2334,137.6943,126.6909,64.6825,66.5362,61.2903,58.8933,,,,,,,-0.295,-23.4011,-0.28,-22.2112,0.35,28.2258,0.335,26.4822,71.6407,78.3767,57.8194,62.1782,14.2544,17.0074,15.9108,20.1132,31.274,35.1898,29.9724,32.71,-40.3667,-43.1869,-27.847,-29.4681,11.2497,15.0724,11.8732,9.7308,-3.0047,-1.935,-4.0376,-10.3824,,,-22.5998,7.9743,-0.2848,-5.5206,-2.9303,0.5224,6.4901,-0.8229,0.0942,,,,,,117.5253,27.6675,81.1281,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",58.105,58.705,57.715,58.375,5755.05,5755.65,5754.66,5755.32,1.2594,63.0102,0.82,0.83,0.805,0.72,0.45,0.4,0.465,0.51,183.7362,196.4135,133.95,125.8772,64.9505,65.873,63.3858,57.8313,,,,,,,-0.26,-20.6452,-0.27,-21.4392,0.39,30.7087,0.33,26.506,71.2722,76.2993,57.4583,56.9931,13.2443,26.0927,19.6251,20.0537,35.8066,32.8093,28.2586,27.3332,-35.4656,-43.49,-29.1997,-29.6599,11.4986,20.9747,12.7486,12.1566,-1.7457,-5.118,-6.8766,-7.8971,,,-28.2067,10.5956,-0.3302,6.5276,-7.3665,-0.1519,5.111,-8.7568,0.1798,,,,,,117.5267,27.1065,77.1445,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",59.36,59.995,58.985,59.635,5756.305,5756.94,5755.93,5756.58,1.25,62.8094,0.805,0.8,0.79,0.745,0.435,0.46,0.465,0.54,182.2182,180.1123,139.0959,111.6965,64.9194,64,63.0739,59.2445,,,,,,,-0.28,-22.4,-0.275,-22,0.375,29.9401,0.36,28.6282,73.0971,77.8066,57.0545,59.5574,12.8802,13.3245,14.4558,18.2218,33.5418,33.8784,28.3372,29.138,-39.5553,-43.9282,-28.7173,-30.4194,8.6018,10.3987,11.6119,9.5397,-4.2784,-2.9257,-2.8439,-8.6822,,,32.7551,24.3695,0.0918,-6.15,-2.5153,0.2278,0.6511,-0.7083,0.0207,,,,,,129.6488,29.9276,67.6565,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",60.6,61.235,60.235,60.865,5757.545,5758.18,5757.18,5757.81,1.21,62.4834,0.81,0.735,0.77,0.71,0.435,0.44,0.46,0.485,190.1843,179.0738,133.6318,125.0324,66.3934,61.8947,62.6016,59.0437,,,,,,,-0.24,-19.8347,-0.265,-21.9008,0.365,29.6748,0.37,30.7692,71.2739,73.9431,60.8158,65.1199,12.858,23.7367,16.5585,19.6268,34.9348,32.9319,31.2563,32.7795,-36.3392,-41.0112,-29.5595,-32.3403,9.2654,20.4405,11.2244,10.9757,-3.5925,-3.2962,-5.3341,-8.6511,,,23.4057,14.3009,0.0792,4.9607,-0.8772,0.0407,3.6475,-0.2483,0.0593,,,,,,129.2994,28.9494,78.2079,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",61.795,62.435,61.465,62.075,5758.74,5759.38,5758.41,5759.02,1.2537,63.5918,0.865,0.8,0.755,0.77,0.385,0.465,0.46,0.5,200.2448,178.0099,144.0376,132.1706,67.9764,64.1283,61.6327,60.6299,,,,,,,-0.23,-18.345,-0.28,-22.333,0.33,26.9388,0.36,28.3465,76.9509,73.0363,59.9805,63.2802,14.7434,24.0176,17.5509,17.6348,37.5833,30.8212,31.1027,30.7644,-39.3676,-42.2151,-28.8778,-32.5158,11.2626,19.5206,11.0598,10.519,-3.4808,-4.497,-6.4911,-7.1158,,,-24.1558,7.1997,-0.2979,0.9296,-8.7613,0.6268,8.039,-0.9923,0.1155,,,,,,105.2549,30.5904,82.8988,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
1,"walk","left","soft",63.09,63.665,62.7,63.345,5760.035,5760.61,5759.645,5760.29,1.2175,61.9118,0.765,0.75,0.785,0.715,0.43,0.43,0.48,0.5,198.4599,188.7426,138.1939,134.7181,64.2857,61.4754,62.5498,59.3361,,,,,,,-0.265,-21.7659,-0.255,-20.9446,0.39,31.0757,0.32,26.556,72.6903,77.4503,62.4883,59.3562,13.7807,26.3384,16.2091,23.1901,34.1997,33.7491,30.8986,31.9371,-38.4906,-43.7012,-31.5897,-27.4191,11.6309,20.8598,9.9246,12.2208,-2.1498,-5.4786,-6.2845,-10.9693,,,0.7687,-1.0106,0.0189,2.2281,,0.0344,8.8226,-2.6146,0.1388,,,,,,121.7469,37.0918,82.4061,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250128T141634_logfile.itlog","2025-01-28T21:16:34.113Z","In hand","Research",,,
