segment,gait,direction,surface,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,hiphike_swing,hiphike_stance,horse_name,measurement,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","hard",1.3375,64.5723,0.915,0.855,0.885,0.8,0.415,0.48,0.455,0.535,180.4253,171.6768,122.3233,113.2718,68.4112,63.806,65.9218,60.1504,,,,,,,-0.305,-22.8037,-0.375,-28.0374,0.35,26.0708,0.32,24.0602,69.3229,74.2837,54.428,55.1067,10.8762,15.4702,12.3825,17.008,31.1742,31.7959,25.3285,27.0354,-38.1487,-42.4878,-29.0995,-28.0713,9.141,11.8132,8.8204,8.3537,-1.7353,-3.657,-3.562,-8.6543,,,27.5584,-14.6729,0.3911,7.3921,-3.6055,-0.1273,-1.3984,-6.1146,0.0887,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.3113,65.1714,0.915,0.855,0.87,0.78,0.43,0.49,0.46,0.525,175.2987,171.7055,126.2872,109.8455,69.0566,65.392,65.5367,60.7004,,,,,,,-0.3,-22.8789,-0.355,-27.0734,0.35,26.3653,0.34,26.4591,76.4879,75.6515,54.5933,57.4969,11.618,11.3079,7.7208,14.1119,34.6159,34.7193,24.9472,27.5086,-41.872,-40.9322,-29.6461,-29.9882,7.0141,7.9692,6.2089,6.7117,-4.604,-3.3387,-1.5119,-7.4001,,,18.6678,-18.4166,0.3545,-1.3458,-5.6106,0.3454,-0.5856,-8.523,0.1397,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.3075,65.6142,0.9,0.875,0.835,0.82,0.39,0.415,0.455,0.485,207.9978,195.6449,122.4772,123.1456,69.4981,66.9216,64.7287,61.3084,,,,,,,-0.28,-21.4149,-0.315,-24.0918,0.33,25.5814,0.345,25.7944,72.6597,72.8842,56.3152,60.1259,12.3179,10.2292,5.9082,10.3379,32.7496,32.1638,26.2494,29.6065,-39.9101,-40.7204,-30.0658,-30.5194,8.8087,9.1308,5.056,4.4291,-3.5093,-1.0983,-0.8522,-5.9087,,,-1.2575,-11.1456,0.0934,-0.3145,-4.0138,0.1642,4.8326,-5.4731,0.1595,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2963,64.0172,0.905,0.81,0.85,0.755,0.4,0.45,0.455,0.55,194.6255,177.2465,124.3699,111.4414,69.2161,63.6542,65.0096,58.1888,,,,,,,-0.3,-23.1437,-0.385,-29.7011,0.34,26.0038,0.3,23.1214,74.0101,75.1621,54.0869,57.5264,14.1225,15.2873,10.8941,10.5186,34.0059,31.2751,24.2903,29.0477,-40.0042,-43.887,-29.7966,-28.4787,9.8209,11.6458,8.2389,4.8573,-4.3016,-3.6415,-2.6551,-5.6613,,,-5.7497,-1.6519,-0.0466,0.6276,-5.6018,0.1825,1.1281,-8.5679,0.1535,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.275,63.7943,0.86,0.835,0.825,0.735,0.405,0.475,0.46,0.535,196.8601,180.0854,121.8822,114.6623,67.319,64.4788,64.5793,58.8,,,,,,,-0.285,-22.3529,-0.365,-28.6275,0.34,26.6145,0.295,23.6,74.2526,74.3998,54.6642,58.4794,13.618,13.1793,11.8033,17.6326,31.9549,31.861,25.0764,32.3725,-42.2977,-42.5389,-29.5878,-26.1069,8.2101,11.5888,7.7137,8.5652,-5.4079,-1.5905,-4.0895,-9.0674,,,9.3876,-14.1011,0.2068,-0.5883,-1.7833,0.1598,3.669,-9.7646,0.203,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2663,64.6422,0.865,0.78,0.845,0.785,0.43,0.445,0.445,0.495,192.7711,189.6523,127.7354,126.6814,68.1102,62.9032,65.3772,62.1782,,,,,,,-0.27,-21.3228,-0.305,-24.0869,0.36,27.853,0.345,27.3267,78.3463,78.6452,57.1749,58.1877,13.6123,13.5082,10.3789,14.6515,34.4135,34.2709,27.6327,26.3304,-43.9328,-44.3743,-29.5423,-31.8573,7.4051,10.6926,8.355,8.3115,-6.2072,-2.8157,-2.0239,-6.34,,,12.4208,6.9214,0.0667,-0.5811,-1.3987,0.0567,-4.5346,-1.3071,-0.0545,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2275,64.0486,0.835,0.77,0.775,0.765,0.38,0.475,0.45,0.46,223.6302,190.7356,133.0456,132.3342,67.7485,62.9857,63.2653,62.1951,,,,,,,-0.285,-23.2179,-0.305,-24.8473,0.31,25.3061,0.355,28.8618,75.0151,78.5142,57.1812,59.628,12.2299,19.6982,8.7296,12.9083,31.2655,35.8243,27.1984,28.504,-43.7497,-42.6899,-29.9828,-31.124,6.7532,12.9846,5.533,6.6206,-5.4767,-6.7135,-3.1966,-6.2878,,,-10.1091,-10.4622,0.0037,-0.3063,-1.2423,-0.0431,-4.156,-5.0998,0.0152,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.25,64.8018,0.83,0.84,0.795,0.775,0.415,0.43,0.45,0.47,205.2936,210.3768,132.6874,135.4066,66.6667,66.9323,63.8554,61.753,,,,,,,-0.255,-20.4,-0.29,-23.2,0.335,26.9076,0.32,25.498,73.9406,75.0284,57.9823,58.292,14.0426,14.6591,12.2148,18.3993,32.2526,32.0024,27.0762,27.6987,-41.688,-43.026,-30.906,-30.5933,8.3402,12.2581,8.2156,9.8954,-5.7024,-2.401,-3.9991,-8.5039,,,-32.0277,-3.723,-0.2542,2.137,2.9969,-0.1602,-5.2328,-1.4929,-0.0559,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.255,64.6365,0.83,0.835,0.815,0.765,0.415,0.4,0.45,0.49,198.0243,204.1367,137.4327,128.9359,66.5331,66.0079,64.6825,61.3226,,,,,,,-0.3,-23.9044,-0.31,-24.7012,0.335,26.5873,0.295,23.6473,74.8701,77.7912,55.5915,56.1627,13.1693,14.5081,9.9855,19.7846,33.5387,32.534,25.7133,26.6955,-41.3314,-45.2571,-29.8783,-29.4672,7.2102,12.5037,7.1666,10.7945,-5.9591,-2.0043,-2.8189,-8.9901,,,-4.7391,-19.2227,0.1366,7.2839,-2.8181,-0.2411,5.7771,-8.2371,0.1965,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2588,64.1458,0.85,0.79,0.81,0.78,0.42,0.46,0.44,0.475,195.6004,192.2836,133.8079,126.2929,66.6667,63.3267,64.9299,61.6601,,,,,,,-0.315,-25.0248,-0.3,-23.8332,0.33,26.4529,0.35,27.668,72.4476,78.1837,58.5885,58.8772,16.5462,18.5042,9.7364,17.8747,30.6248,34.18,28.979,28.0518,-41.8228,-44.0037,-29.6095,-30.8255,11.5138,13.9755,7.0458,9.4838,-5.0324,-4.5287,-2.6907,-8.3909,,,-14.0613,9.021,-0.2991,7.7553,4.2388,-0.3803,-0.0888,-0.9214,0.0137,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
