segment,gait,direction,surface,ts_hoof_on_LF,ts_hoof_on_RF,ts_hoof_on_LH,ts_hoof_on_RH,ts_raw_hoof_on_LF,ts_raw_hoof_on_RF,ts_raw_hoof_on_LH,ts_raw_hoof_on_RH,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,min_diff_stn,max_diff_stn,si_up_stn,hiphike_swing,hiphike_stance,romz_head,romz_wth,romz_sac,romz_stn,romz_ltc,romz_rtc,horse_name,horse_ueln,horse_chip,horse_age,horse_color,horse_sex,horse_breed,horse_discipline,horse_sire,measurement,date,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","straight","soft",18.845,19.515,18.465,19.1,1435.91,1436.58,1435.53,1436.165,1.3344,62.5962,0.88,0.88,0.805,0.775,0.445,0.445,0.54,0.55,162.9974,172.2484,99.4351,76.0303,66.0413,66.5406,60.0746,57.7281,,,,,,,,,-0.255,-19.1101,0.38,28.3582,0.415,30.9125,73.2036,69.9923,56.2123,55.1563,4.7914,6.5051,8.943,9.5143,32.4159,31.3695,27.3093,22.4967,-40.7877,-38.6228,-28.903,-32.6597,4.9819,4.7313,5.3745,5.9835,0.1906,-1.7739,-3.5685,-3.5309,0.79,1.0586,-38.2314,15.8378,-0.5527,-0.8127,-0.4421,,-4.7445,3.1913,-0.1222,,,,,,100.8726,9.2719,67.2545,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
1,"walk","straight","soft",20.185,20.835,19.8,20.46,1437.25,1437.9,1436.865,1437.525,1.2856,60.982,0.825,0.825,0.77,0.715,0.46,0.44,0.53,0.585,160.8142,180.086,104.8058,73.8765,63.9535,65.0888,59.4595,55.4264,,,,,,,-0.285,-22.1682,-0.275,-21.3904,0.385,29.7297,0.375,29.0698,75.0779,76.2987,58.8861,59.7098,5.8397,4.6083,9.4587,7.2794,32.7412,36.1032,28.782,27.0259,-42.3367,-40.1954,-30.1041,-32.6839,4.9456,4.3834,6.0857,4.2072,-0.894,-0.2249,-3.3731,-3.0722,0.79,1.0231,-19.5883,13.3569,-0.3285,-4.3869,-3.3343,,-6.0424,4.5689,-0.152,,,,,,100.299,12.5178,79.9153,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
2,"walk","left","hard",35.39,36.08,35.005,35.65,1452.455,1453.145,1452.07,1452.715,1.2488,62.2724,0.94,0.75,0.73,0.69,0.32,0.43,0.465,0.59,131.6949,143.4024,117.4473,88.2823,74.7515,61.3497,58.871,54.1176,,,,,,,,,-0.26,-20.8208,0.385,31.0484,0.43,33.7255,69.862,64.9832,60.692,58.744,27.7446,13.606,20.0544,25.8561,33.9216,31.5858,31.5193,28.9294,-35.9404,-33.3974,-29.1726,-29.8146,18.1785,8.1941,14.6541,11.1214,-9.5661,-5.4119,-5.4002,-14.7347,0.8967,1.1119,,,,-8.1325,6.654,-0.0509,-9.5181,-1.4346,-0.1325,,,,,,,42.6103,81.241,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
2,"walk","left","hard",36.645,37.345,36.29,36.92,1453.71,1454.41,1453.355,1453.985,1.3056,63.2069,0.965,0.83,0.78,0.725,0.315,0.515,0.555,0.58,189.1716,140.1809,109.0053,100.5737,74.0883,64.0927,59.0909,55.5556,,,,,,,-0.21,-16.0843,-0.275,-21.0627,0.355,26.8939,0.425,32.567,69.395,68.5402,62.6788,55.3439,26.2551,18.5495,12.2232,13.9793,29.9419,34.7835,34.0106,21.9282,-39.4531,-33.7567,-28.6682,-33.4157,16.3443,12.1506,10.4926,7.4573,-9.9108,-6.3989,-1.7305,-6.522,0.8967,1.1836,-51.3148,48.4158,,-16.5164,-2.7855,,8.1152,5.1942,0.0378,,,,,,200.2685,42.0302,82.4736,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
2,"walk","left","hard",37.97,38.59,37.595,38.225,1455.035,1455.655,1454.66,1455.29,1.175,61.4769,0.83,0.71,0.72,0.63,0.36,0.415,0.525,0.58,171.6117,173.5735,124.1769,96.7814,70.0422,62.4176,59.1376,54.3103,,,,,,,-0.25,-21.2766,-0.255,-21.7021,0.375,30.8008,0.365,31.4655,72.4462,62.3312,56.2065,67.5472,23.2137,10.7278,11.4858,15.569,33.8255,27.7786,25.6829,35.4969,-38.6206,-34.5526,-30.5236,-32.0502,13.3784,6.8047,9.1728,7.0999,-9.8353,-3.9231,-2.313,-8.4691,0.885,1.0775,23.4732,68.2335,-0.4452,,,,20.6273,-6.7317,0.3399,,,,,,124.0182,20.1705,91.7789,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
2,"walk","left","hard",39.15,39.74,38.785,39.335,1456.215,1456.805,1455.85,1456.4,1.175,63.4767,0.78,0.75,0.715,0.735,0.35,0.44,0.47,0.48,179.9014,153.8195,123.6369,120.1166,66.9528,66.2252,60.8511,59.8778,,,,,,,-0.195,-16.5957,-0.185,-15.7447,0.365,31.0638,0.405,32.9939,67.3302,58.0003,60.328,54.1314,9.1071,10.6396,12.638,12.1128,29.755,22.3818,26.4621,21.4687,-37.5753,-35.6185,-33.8659,-32.6626,4.2199,9.9587,8.6135,8.0633,-4.8872,-0.6808,-4.0245,-4.0495,0.74,0.8695,-36.2034,18.1963,-0.5479,-8.7873,-12.6082,,-0.0888,5.5398,-0.0621,,,,,,111.096,29.7304,90.6834,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
2,"walk","left","hard",40.35,40.815,39.95,40.575,1457.415,1457.88,1457.015,1457.64,1.2256,63.6362,0.83,0.88,0.725,0.69,0.42,0.325,0.45,0.505,152.5635,171.1469,138.1828,99.128,68.4536,67.8227,59.7938,58.4746,,,,,,,-0.21,-17.1341,-0.225,-18.358,0.4,32.9897,0.24,20.339,67.0287,69.9911,64.3157,53.1377,22.3564,10.8811,12.8053,17.4079,32.1999,28.7552,31.1574,23.319,-34.8288,-41.236,-33.1582,-29.8187,12.6337,7.2368,7.9001,10.4555,-9.7227,-3.6443,-4.9051,-6.9524,0.56,0.679,-28.0258,16.2685,-0.5224,,,,,-10.5454,-0.3021,,,,,,203.318,28.0749,85.3201,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
2,"walk","left","hard",41.525,42.205,41.2,41.74,1458.59,1459.27,1458.265,1458.805,1.26,64.0236,0.88,0.835,0.755,0.755,0.345,0.51,0.525,0.475,167.434,153.3028,132.1239,109.5696,71.2551,65.1072,60.4,59.332,,,,,,,-0.385,-30.5556,-0.215,-17.0635,0.325,26,0.465,36.5422,71.3138,61.968,55.3602,54.9707,17.9561,18.5637,9.8315,16.8082,30.1068,29.4577,24.9471,17.0753,-41.207,-32.5103,-30.413,-37.8954,9.2473,11.7522,8.6176,11.377,-8.7088,-6.8115,-1.2138,-5.4312,0.69,0.8625,-70.6691,113.0715,-0.9037,-8.6645,-1.67,,-9.2066,4.338,-0.1891,,,,,,203.3208,18.1323,71.6145,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
2,"walk","left","hard",42.77,43.425,42.42,43.055,1459.835,1460.49,1459.485,1460.12,1.24,62.8122,0.925,0.8,0.73,0.665,0.365,0.385,0.465,0.56,176.3676,154.9339,126.6535,90.0513,71.0173,66.8058,59.4705,53.9554,,,,,,,-0.215,-17.3387,-0.285,-22.9839,0.35,28.5132,0.37,30.0203,65.9581,65.3924,60.1202,56.9236,26.8668,13.452,15.1891,21.8311,27.545,27.7577,29.1216,24.4262,-38.4131,-37.6347,-30.9986,-32.4974,13.8659,7.4261,9.0065,11.2931,-13.0009,-6.0259,-6.1826,-10.5379,1.02,1.252,-8.7168,20.0287,,5.1854,2.7301,-0.6748,-12.5836,3.4523,-0.2485,,,,,,103.3438,29.836,68.9159,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
2,"walk","left","hard",44.085,44.635,43.68,44.295,1461.15,1461.7,1460.745,1461.36,1.1869,61.6425,0.825,0.79,0.655,0.66,0.39,0.41,0.53,0.575,160.187,163.9804,119.8076,102.6229,68.4647,63.9676,54.8117,59.3258,,,,,,,-0.255,-21.485,-0.21,-17.6935,0.405,33.8912,0.34,30.5618,63.3331,69.1233,54.0422,56.6227,22.1736,10.571,25.9592,9.4997,25.7584,30.5493,23.3541,25.6008,-37.5747,-38.5739,-30.6881,-31.0219,10.3518,5.5376,20.3742,3.1007,-11.8218,-5.0334,-5.5849,-6.3991,0.97,1.1592,-5.0035,55.1409,-0.8064,4.9726,-18.1904,0.3758,4.4379,3.4324,0.015,,,,,,92.2742,34.2725,74.0094,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250505T123314_logfile.itlog","2025-05-05T19:33:13.909Z","In hand","Research",,,
