segment,gait,direction,surface,ts_hoof_on_LF,ts_hoof_on_RF,ts_hoof_on_LH,ts_hoof_on_RH,ts_raw_hoof_on_LF,ts_raw_hoof_on_RF,ts_raw_hoof_on_LH,ts_raw_hoof_on_RH,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,min_diff_stn,max_diff_stn,si_up_stn,hiphike_swing,hiphike_stance,romz_head,romz_wth,romz_sac,romz_stn,romz_ltc,romz_rtc,horse_name,horse_ueln,horse_chip,horse_age,horse_color,horse_sex,horse_breed,horse_discipline,horse_sire,measurement,date,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","straight","soft",17.8,18.465,17.38,18.095,2654.455,2655.12,2654.035,2654.75,1.365,62.949,0.895,0.905,0.84,0.795,0.475,0.435,0.545,0.6,147.0642,176.0158,94.2706,91.8041,66.1738,67.1614,60.4317,58.0292,,,,,,,,,-0.295,-21.6117,0.42,30.2158,0.37,27.0073,73.9229,68.2429,57.8128,53.8615,8.1421,6.9428,8.4335,8.0937,34.941,31.0694,30.3228,26.4569,-38.9819,-37.1735,-27.49,-27.4046,4.4771,6.1133,6.3346,7.065,-3.665,-0.8295,-2.099,-1.0288,0.7,0.973,32.9319,12.757,0.3153,3.2891,-5.96,-0.0703,-9.2613,-1.7724,-0.118,,,,,,88.0758,18.1859,65.2284,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
1,"walk","straight","soft",19.135,19.82,18.775,19.44,2655.79,2656.475,2655.43,2656.095,1.3531,63.1113,0.92,0.86,0.815,0.82,0.44,0.45,0.555,0.55,166.5415,164.7003,89.2705,100.5063,67.6471,64.9057,60.1476,59.745,,,,,,,-0.31,-22.9099,-0.305,-22.5404,0.36,26.5683,0.38,27.6867,74.4584,68.9946,56.2872,58.5088,11.35,3.9378,14.7311,8.8009,33.813,29.6293,29.5133,29.8276,-40.6454,-39.3653,-26.7739,-28.6811,6.7539,3.6554,7.7461,6.8003,-4.5962,-0.2824,-6.9849,-2.0006,0.7,0.9485,3.5692,25.177,-0.3085,2.6754,-1.6002,-0.0643,-7.5217,-1.1579,-0.1011,,,,,,90.7499,19.1999,66.5414,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
1,"walk","straight","soft",20.495,21.16,20.115,20.815,2657.15,2657.815,2656.77,2657.47,1.3062,62.5724,0.87,0.83,0.805,0.765,0.44,0.48,0.525,0.555,172.7743,159.8797,99.5747,106.886,66.2857,63.6015,60.9848,59.4175,,,,,,,-0.295,-22.5837,-0.32,-24.4976,0.38,28.7879,0.345,26.7961,74.2111,72.6403,59.9047,54.4722,11.3466,9.2804,15.0938,15.3312,33.8059,35.6926,29.5084,27.8457,-40.4051,-36.9477,-30.3963,-26.6265,8.2761,6.3009,8.8483,9.3337,-3.0704,-2.9795,-6.2454,-5.9975,0.8267,1.0912,-18.9732,7.1548,-0.2938,12.4105,-2.9894,,-7.3095,2.5506,-0.1362,,,,,,88.932,24.1626,73.1521,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
1,"walk","straight","soft",21.81,22.46,21.425,22.07,2658.465,2659.115,2658.08,2658.725,1.3456,63.6086,0.9,0.905,0.805,0.815,0.445,0.47,0.505,0.49,174.0961,165.6804,108.5601,114.5702,66.9145,66.0584,60.4128,61.0487,,,,,,,-0.265,-19.6935,-0.26,-19.3219,0.385,28.8931,0.39,29.2135,69.7862,71.7911,58.8833,54.8352,9.0474,6.5787,7.6866,8.0769,30.3925,31.5538,29.6832,25.8101,-39.3937,-40.2373,-29.2001,-29.0251,6.3636,4.8039,6.0638,4.9227,-2.6838,-1.7748,-1.6228,-3.1542,1.025,1.3658,-1.9037,10.4391,-0.156,-11.9325,3.7892,,-7.2453,-1.9683,-0.0748,,,,,,87.6391,22.4489,72.4994,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
1,"walk","straight","soft",23.155,23.825,22.78,23.435,2659.81,2660.48,2659.435,2660.09,1.3556,63.1062,0.895,0.9,0.815,0.81,0.445,0.46,0.55,0.55,159.5641,172.9871,99.3882,100.6003,66.791,66.7904,60.1476,58.6957,,,,,,,-0.32,-23.6053,-0.28,-20.6547,0.375,27.6753,0.39,28.2609,73.5788,68.1177,54.8572,55.5728,10.3075,7.8896,10.9693,8.9424,34.2969,30.6334,27.4738,28.4314,-39.2819,-37.4843,-27.3834,-27.1414,6.4541,5.2768,6.8543,7.6303,-3.8534,-2.6128,-4.115,-1.3121,1.2433,1.6847,-9.3272,20.8877,-0.3453,9.0361,-1.7652,-0.4891,1.6786,-3.5231,0.0776,,,,,,87.4979,17.7805,69.6414,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
2,"walk","left","hard",51.885,52.54,51.55,52.14,2688.54,2689.195,2688.205,2688.795,1.2256,61.8937,0.855,0.755,0.725,0.7,0.375,0.515,0.525,0.52,207.2255,144.9575,133.0471,116.0782,69.2308,61.8852,59.5483,56.9106,,,,,,,,,-0.255,-20.8057,0.335,27.5154,0.4,32.5203,70.5902,63.1572,64.8136,60.1358,19.7152,19.6195,10.1335,7.1723,31.1543,28.1057,34.3127,29.6875,-39.4359,-35.0515,-30.5008,-30.4483,11.3947,12.1839,7.7851,4.9901,-8.3206,-7.4355,-2.3484,-2.1822,1.2633,1.5381,18.1268,,-0.6511,17.2628,-9.2355,-0.283,-22.5639,0.1031,-0.2676,,,,,,130.9995,36.746,90.4884,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
2,"walk","left","hard",53.125,53.71,52.735,53.38,2689.78,2690.365,2689.39,2690.035,1.2481,62.4507,0.865,0.825,0.73,0.7,0.385,0.415,0.46,0.54,197.0044,148.3636,133.1864,110.8537,69.0619,64.4531,59.8361,56.4516,,,,,,,-0.195,-15.6234,-0.255,-20.4306,0.39,31.9672,0.33,26.6129,67.5084,64.7598,67.0819,58.1398,22.2812,16.0401,10.0785,17.5501,31.1894,25.9135,35.4533,28.0308,-36.3189,-38.8464,-31.6285,-30.109,13.4134,13.7044,7.7191,11.0456,-8.8678,-2.3357,-2.3594,-6.5045,1.2633,1.5413,-8.4768,,-0.7222,19.1618,-7.422,-0.5077,-19.1113,-3.9121,-0.2033,,,,,,118.2871,34.8173,80.3488,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
2,"walk","left","hard",54.38,55.03,53.985,54.62,2691.035,2691.685,2690.64,2691.275,1.2894,62.8645,0.89,0.835,0.765,0.75,0.39,0.495,0.52,0.54,189.7925,131.3972,132.8022,101.5158,69.8039,64.8544,59.7656,57.0342,,,,,,,-0.275,-21.3282,-0.24,-18.6137,0.395,30.8594,0.41,31.1787,66.9221,67.1876,60.555,57.5475,16.2039,13.8547,13.4592,10.3559,26.4312,29.9653,31.036,28.7684,-40.4909,-37.2224,-29.5191,-28.7791,9.9208,7.8964,11.4248,6.1944,-6.2831,-5.9583,-2.0345,-4.1615,1.3367,1.7109,-42.9694,-5.1635,-0.5014,22.2026,-12.5546,-0.3319,1.8751,0.0834,0.0245,,,,,,86.5029,,73.1808,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
2,"walk","left","hard",55.65,56.275,55.26,55.96,2692.305,2692.93,2691.915,2692.615,1.2912,62.6951,0.86,0.87,0.785,0.72,0.38,0.41,0.51,0.59,188.0733,162.3639,123.996,96.0248,68.8,66.5392,60.2687,55.1724,,,,,,,-0.23,-17.8122,-0.31,-24.0077,0.39,29.9424,0.315,24.1379,62.3258,70.5457,59.675,56.7142,17.5045,10.6372,9.6195,16.2074,23.026,29.6003,30.171,30.3461,-39.2997,-40.9454,-29.504,-26.368,17.2532,1.2069,10.3877,9.7388,-0.2514,-9.4303,0.7682,-6.4686,1.345,1.7519,-27.3031,8.7665,-0.4504,19.0537,-6.5959,-0.5523,-11.2136,-5.7907,-0.0808,,,,,,109.7047,38.442,83.9452,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
2,"walk","left","hard",56.91,57.61,56.57,57.26,2693.565,2694.265,2693.225,2693.915,1.2988,62.7918,0.895,0.845,0.82,0.705,0.4,0.465,0.525,0.58,168.2468,171.2808,113.489,97.6,67.803,65.5039,62.2391,55.6213,,,,,,,-0.295,-22.7141,-0.35,-26.949,0.34,25.8065,0.35,27.6134,66.2088,70.5311,52.5743,53.077,17.1686,9.3153,20.9631,25.26,31.9624,29.7964,29.4506,27.9472,-34.2464,-40.7346,-23.1237,-25.1297,14.2612,3.8767,13.0107,12.8722,-2.9073,-5.4387,-7.9524,-12.3877,1.32,1.7391,-14.314,38.5869,-0.5122,19.4553,1.763,,-7.9198,,0.1753,,,,,,106.4874,30.7363,78.1236,,,,"Perseo","","N/A","2017-01-01T00:00:00.000Z","Grey","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20250508T130406_logfile.itlog","2025-05-08T20:04:06.304Z","In hand","Research",,,
